timestamp,mode,dataset,steps,model_name,IoU,IoU@50,IoU@75,IoU@95,seg_loss,score_loss,total_loss
2025-04-29T11:58:23.041710,train,severstal,124,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.094692,train,severstal,125,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.149848,train,severstal,126,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.202284,train,severstal,127,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.288159,train,severstal,128,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.341231,train,severstal,129,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.403412,train,severstal,130,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.452401,train,severstal,131,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.506445,train,severstal,132,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.562681,train,severstal,133,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.616126,train,severstal,134,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.672343,train,severstal,135,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.746390,train,severstal,136,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.804392,train,severstal,137,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.859806,train,severstal,138,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.916595,train,severstal,139,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:23.972993,train,severstal,140,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.025732,train,severstal,141,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.080019,train,severstal,142,fine_tuned_sam2_severstal_full_javi,0.0002,,,,,,
2025-04-29T11:58:24.129311,train,severstal,143,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.182809,train,severstal,144,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.235811,train,severstal,145,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.284826,train,severstal,146,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.340503,train,severstal,147,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.404473,train,severstal,148,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.453811,train,severstal,149,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.553490,train,severstal,150,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.617469,train,severstal,151,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.670809,train,severstal,152,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.723990,train,severstal,153,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.774433,train,severstal,154,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.823955,train,severstal,155,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.908742,train,severstal,156,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:24.989582,train,severstal,157,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.040938,train,severstal,158,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.104457,train,severstal,159,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.160649,train,severstal,160,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.216548,train,severstal,161,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.269503,train,severstal,162,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.324761,train,severstal,163,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.384111,train,severstal,164,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.433812,train,severstal,165,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.483851,train,severstal,166,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.537417,train,severstal,167,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.590061,train,severstal,168,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.652078,train,severstal,169,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.702223,train,severstal,170,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.756707,train,severstal,171,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.815950,train,severstal,172,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.867702,train,severstal,173,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.919654,train,severstal,174,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:25.972168,train,severstal,175,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.031038,train,severstal,176,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.082015,train,severstal,177,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.133190,train,severstal,178,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.185603,train,severstal,179,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
2025-04-29T11:58:26.240834,train,severstal,180,fine_tuned_sam2_severstal_full_javi,0.0,,,,,,
